movie_title,imdb_score
Harry Potter and the Deathly Hallows: Part II,7.5
Megamind,7.3
Harry Potter and the Sorcerer's Stone,7.5
Godzilla Resurgence,8.2
Pirates of the Caribbean: The Curse of the Black Pearl,8.1
X-Men 2,7.5
Fast Five,7.3
Sherlock Holmes: A Game of Shadows,7.5
Total Recall,7.5
Life of Pi,8.0
Jason Bourne,7.1
Star Wars: Episode III - Revenge of the Sith,7.6
"Monsters, Inc.",8.1
The Croods,7.3
Gravity,7.8
The Patriot,7.1
The Aviator,7.5
The A-Team            ,7.6
Real Steel,7.1
Live Free or Die Hard,7.2
The Lord of the Rings: The Fellowship of the Ring,8.8
"I, Robot",7.1
Kingdom of Heaven,7.2
The Princess and the Frog,7.1
The Martian,8.1
"10,000 B.C.            ",7.2
Gladiator,8.5
Minority Report,7.7
Harry Potter and the Chamber of Secrets,7.4
Casino Royale,8.0
Terminator 2: Judgment Day,8.5
American Gangster,7.8
True Lies,7.2
Django Unchained,8.5
The Emperor's New Groove,7.3
Blood Diamond,8.0
The Wolf of Wall Street,8.2
Starship Troopers,7.2
Cloud Atlas,7.5
Treasure Planet,7.1
The Peanuts Movie,7.2
The Spanish Prisoner,7.3
Gangs of New York,7.5
The Flowers of War,7.6
Black Hawk Down,7.7
The Fifth Element,7.7
Finding Nemo,8.2
The Lord of the Rings: The Return of the King,8.9
The Lord of the Rings: The Two Towers,8.7
Rise of the Planet of the Apes,7.6
The Incredibles,8.0
Men in Black,7.3
Toy Story 2,7.9
The Secret Life of Walter Mitty,7.3
The Departed,8.5
Mulan,7.5
The Girl with the Dragon Tattoo,7.8
Die Hard with a Vengeance,7.6
Sherlock Holmes,7.6
Valkyrie,7.1
A.I. Artificial Intelligence,7.1
Contact,7.4
Cinderella Man,8.0
Seabiscuit,7.3
Cast Away,7.7
The Bourne Supremacy,7.8
Ocean's Eleven,7.8
Hotel Transylvania,7.1
Enchanted,7.1
Hannibal            ,8.6
Enemy of the State,7.3
Enemy at the Gates,7.6
Memoirs of a Geisha,7.3
Arthur Christmas,7.1
Meet Joe Black,7.1
All That Jazz,7.8
Scott Pilgrim vs. the World,7.5
Dredd,7.1
Zodiac,7.7
Mission: Impossible,7.1
The Hunger Games,7.3
Lilo & Stitch,7.2
Shutter Island,8.1
Face/Off,7.3
Road to Perdition,7.7
Daredevil            ,8.8
Cold Mountain,7.2
Fury,7.6
Bewitched            ,7.6
Fantasia 2000,7.3
Thirteen Days,7.3
Oceans,7.8
A Beautiful Mind,8.2
The Lion King,8.5
Red Dragon,7.2
The Little Prince,7.8
Despicable Me 2,7.5
Children of Men,7.9
X-Men,7.4
The Rock,7.4
Now You See Me,7.3
The Terminal,7.3
Constantine            ,7.5
Charlie Wilson's War,7.1
Life            ,8.3
Munich,7.6
The Man from U.N.C.L.E.,7.3
Unbreakable,7.2
The Kingdom,7.1
Braveheart,8.4
Jarhead,7.1
The Simpsons Movie,7.4
Two Brothers,7.1
Shrek 2,7.2
Cars,7.2
Inglourious Basterds,8.3
Die Hard 2,7.1
Sleepy Hollow            ,7.5
We Were Soldiers,7.1
Big Fish,8.0
War Horse,7.2
The Abyss,7.6
Stardust,7.7
Despicable Me,7.7
Agora,7.2
The Insider,7.9
Body of Lies,7.1
Last Man Standing            ,7.4
Saving Private Ryan,8.6
Ice Age,7.6
Lincoln,7.4
The Matrix,8.7
Apollo 13,7.6
Total Recall,7.5
Les Misérables,7.6
Unbroken,7.2
Eyes Wide Shut,7.3
Fight Club,8.8
We Are Marshall,7.1
The Missing            ,8.1
Everest,7.1
Perfume: The Story of a Murderer,7.5
Jurassic Park,8.1
The Hateful Eight,7.9
300,7.7
Marley & Me,7.1
The Green Mile,8.5
Gone Girl,8.1
The Bourne Identity,7.9
GoldenEye,7.2
The Truman Show,8.1
RED,7.1
Collateral,7.6
This Is It,7.3
Coraline,7.7
Man on Fire,7.7
Rules of Engagement            ,7.3
Shooter,7.2
The Lego Movie,7.8
Invictus,7.4
State of Play,7.1
Almost Famous,7.9
The Avengers,8.1
Deadpool,8.1
American Sniper,7.3
The Devil's Advocate,7.5
Forrest Gump,8.8
Superman,7.3
Captain Phillips,7.9
The Equalizer,7.2
Crimson Tide,7.3
The Pursuit of Happyness,8.0
Kill Bill: Vol. 1,8.1
Stargate SG-1            ,8.4
Kill Bill: Vol. 2,8.0
Ronin,7.3
Paddington,7.2
Changeling,7.8
The Phantom of the Opera,7.4
A Very Long Engagement,7.7
Lolita,7.7
Seven Pounds,7.7
The Godfather: Part III,7.6
Anastasia,7.1
Moulin Rouge!,7.6
Flags of Our Fathers,7.1
Law Abiding Citizen,7.4
Grindhouse,7.6
Catch Me If You Can,8.0
Zero Dark Thirty,7.4
The Thin Red Line,7.6
Man on the Moon,7.4
Casino,8.2
Shrek,7.9
The Adjustment Bureau,7.1
Jerry Maguire,7.3
As Good as It Gets,7.7
Super 8,7.1
Erin Brockovich,7.3
22 Jump Street,7.1
Interview with the Vampire: The Vampire Chronicles,7.6
Inside Man,7.6
Payback,7.1
We Bought a Zoo,7.1
"Crazy, Stupid, Love.",7.4
Moneyball,7.6
V for Vendetta,8.2
Unforgotten            ,7.9
13 Hours,7.4
The Book of Life,7.3
The Game,7.8
The Negotiator,7.3
The Judge,7.4
A Touch of Frost            ,7.8
Twisted            ,7.5
The Iron Giant,8.0
The Life Aquatic with Steve Zissou,7.3
The Life of David Gale,7.5
Eastern Promises,7.7
Outlander            ,8.5
Pirate Radio,7.4
Traffic,7.6
Indiana Jones and the Last Crusade,8.3
Three Kings,7.1
K-PAX,7.4
3:10 to Yuma,7.8
Earth,7.8
First Blood,7.7
Solaris,8.1
Insomnia,7.2
Star Trek: First Contact,7.6
The Infiltrator,7.3
The Bucket List,7.4
Prisoners,8.1
Training Day,7.7
Galaxy Quest,7.3
The Muppets,7.1
Blade,7.1
Coach Carter,7.2
Love Actually,7.7
A Bug's Life,7.2
"Yours, Mine and Ours",7.2
Across the Universe,7.4
Revolutionary Road,7.3
Dredd,7.1
Nixon,7.1
The Ghost Writer,7.2
The Returned            ,8.3
Argo,7.7
The Fugitive,7.8
Sleepers,7.5
Pinocchio,7.5
Finding Forrester,7.3
21 Jump Street,7.2
Lord of War,7.6
Hero,7.9
McHale's Navy            ,7.5
Micmacs,7.2
The Sixth Sense,8.1
The Karate Kid,7.2
American Hustle,7.3
Back to the Future Part II,7.8
A Time to Kill,7.4
Lone Survivor,7.6
A League of Their Own,7.2
The Conjuring 2,7.8
The Social Network,7.7
Back to the Future Part III,7.4
Bram Stoker's Dracula,7.5
42,7.5
The Talented Mr. Ripley,7.3
Eight Below,7.3
The Intern,7.2
The Last of the Mohicans,7.8
Ray,7.7
Sin City,8.1
"I Love You, Man",7.1
JFK,8.0
Unbroken,7.2
Bridge of Spies,7.6
The Count of Monte Cristo,7.7
The Lincoln Lawyer,7.3
The Prestige,8.5
Apocalypto,7.8
The Rainmaker,7.1
Amistad,7.2
The Doors,7.2
Pay It Forward,7.2
Arthur            ,7.4
Mean Streets,7.4
The Impossible,7.6
Fantastic Mr. Fox,7.8
Amélie,8.4
Sunshine,7.3
The Hudsucker Proxy,7.3
The Warlords,7.1
The Crow,7.6
Baahubali: The Beginning,8.4
The Time Traveler's Wife,7.1
Serenity,8.0
Red Cliff,7.4
3rd Rock from the Sun            ,7.8
The Hurricane,7.6
Precious,7.3
The Thing,8.2
The Master,7.1
The Express,7.3
Creed,7.7
The Town,7.6
Rush,8.1
Magnolia,8.0
Gattaca,7.8
The Hangover,7.8
Ip Man 3,7.2
Batman,7.6
The Blind Side,7.7
True Grit,7.7
Cape Fear,7.3
The English Patient,7.4
L.A. Confidential,8.3
A Nightmare on Elm Street,7.5
Secretariat,7.2
Saving Mr. Banks,7.5
Malcolm X,7.7
Donnie Brasco,7.8
Poltergeist,7.4
The Bad News Bears,7.3
The Pianist,8.5
Closer,7.3
Concussion,7.1
Wonder Boys,7.4
The Young Victoria,7.3
The Walk,7.4
Luther            ,8.6
"Blood In, Blood Out",8.0
Lion of the Desert,8.4
The Horseman on the Roof,7.1
Biutiful,7.5
Black Water Transit,7.2
The Age of Innocence,7.2
The Fountain,7.3
Ponyo,7.7
The Longest Ride,7.1
Mandela: Long Walk to Freedom,7.1
Reds,7.5
A Few Good Men,7.6
Star Wars: Episode VI - Return of the Jedi,8.4
The Reader,7.6
Men of Honor,7.2
Source Code,7.5
Alive,7.1
The Young and Prodigious T.S. Spivet,7.1
A History of Violence,7.5
Apocalypse Now,8.5
Mr. Holland's Opus,7.3
Out of Africa,7.2
Flight,7.3
The Grand Budapest Hotel,8.1
Frequency,7.3
Chicago,7.2
Toy Story,8.3
Speed,7.2
Remember the Titans,7.8
The Hunt for Red October,7.6
Lee Daniels' The Butler,7.2
Se7en,8.6
District 9,8.0
Mystic River,8.0
Million Dollar Baby,8.1
The Notebook,7.9
Legends of the Fall,7.5
Up in the Air,7.4
About Schmidt,7.2
Looper,7.4
Forgetting Sarah Marshall,7.2
Friday Night Lights            ,8.7
Midnight in Paris,7.7
Blow,7.6
The Curse of the Were-Rabbit,7.5
P.S. I Love You,7.1
Atonement,7.8
Corpse Bride,7.4
Glory Road,7.2
Sicario,7.6
Southpaw,7.5
The Age of Adaline,7.2
Secondhand Lions,7.6
Stranger Than Fiction,7.6
Midnight Run,7.6
The Family            ,7.5
Entourage            ,8.5
9,7.1
Side Effects,7.1
Winnie the Pooh,7.3
The Next Three Days,7.4
North Country,7.3
Barney's Version,7.3
Trapped            ,8.2
Glory,7.9
Once Upon a Time in America,8.4
The Merchant of Venice,7.1
The Assassination of Jesse James by the Coward Robert Ford,7.5
Little Nicholas,7.2
The Color of Freedom,7.1
Sausage Party,7.5
Walk the Line,7.9
12 Monkeys            ,7.6
Frost/Nixon,7.7
Confessions of a Dangerous Mind,7.1
Cry Freedom,7.5
The Jacket,7.1
Aladdin,8.0
Straight Outta Compton,7.9
Indiana Jones and the Temple of Doom,7.6
Florence Foster Jenkins,7.1
Die Hard,8.2
The Big Short,7.8
Miracle,7.5
Dawn of the Dead,7.4
The Royal Tenenbaums,7.6
Identity,7.3
Kick-Ass,7.7
Pride & Prejudice,7.8
Blade Runner,8.2
Winged Migration,8.0
My Sister's Keeper,7.4
A Passage to India,7.4
Notes on a Scandal,7.4
Limitless            ,7.9
Star Trek VI: The Undiscovered Country,7.2
The Jungle Book,7.8
The Blues Brothers,7.9
About a Boy,7.1
Lucky Number Slevin,7.8
The Right Stuff,7.9
The NeverEnding Story,7.4
Dark City,7.7
The Honeymooners            ,8.7
The 40-Year-Old Virgin,7.1
Shakespeare in Love,7.2
Open Range,7.5
It's Always Sunny in Philadelphia            ,8.8
A Bridge Too Far,7.4
"O Brother, Where Art Thou?",7.8
Silverado,7.2
Brothers,7.1
The Constant Gardener,7.5
The Passion of the Christ,7.1
Rain Man,8.0
Gran Torino,8.2
Taken,7.9
Schindler's List,8.9
The Help,8.1
The Untouchables,7.9
No Country for Old Men,8.1
Chocolat,7.3
Tombstone,7.8
The Omen,7.6
Bridge to Terabithia,7.2
Finding Neverland,7.8
Anchorman: The Legend of Ron Burgundy,7.2
Goodfellas,8.7
Scarface,8.3
The Last Emperor,7.8
There Will Be Blood,8.1
The Hours,7.6
August Rush,7.5
Elizabeth,7.5
Tora! Tora! Tora!,7.5
The Shawshank Redemption,9.3
August: Osage County,7.3
Eddie the Eagle,7.5
Shaun the Sheep            ,8.3
Punch-Drunk Love,7.3
The Greatest Game Ever Played,7.5
Angela's Ashes,7.3
The Powerpuff Girls            ,7.2
Lords of Dogtown,7.1
Big Trouble in Little China,7.3
Warrior,8.2
Michael Collins,7.1
Gettysburg,7.7
The Road,7.3
The World's Fastest Indian,7.9
Carnage,7.2
Without Limits,7.2
The Best Offer,7.8
Little White Lies,7.1
Waterloo,7.3
Dangerous Liaisons,7.7
Star Trek IV: The Voyage Home,7.3
Rocky Balboa,7.2
Old School,7.2
The Fisher King,7.6
"Girl, Interrupted",7.3
The Princess and the Cobbler,7.2
Howl's Moving Castle,8.2
Zombieland,7.7
King Kong,7.2
Star Wars: Episode V - The Empire Strikes Back,8.8
The Ides of March,7.1
Pitch Black,7.1
Her,8.0
Eddie the Eagle,7.5
The End of the Affair,7.2
In the Valley of Elah,7.2
Spaceballs,7.1
The Water Diviner,7.1
There's Something About Mary,7.1
The Bridges of Madison County,7.5
Gandhi,8.1
The Hundred-Foot Journey,7.3
I Am Sam,7.6
Shadowlands,7.4
Black Book,7.8
Joyeux Noel,7.8
Sorcerer,7.7
Molière,7.3
Michael Clayton,7.3
Arlington Road,7.2
South Park: Bigger Longer & Uncut,7.8
Death at a Funeral,7.4
Silver Linings Playbook,7.8
Freedom Writers,7.5
Away We Go,7.1
Tinker Tailor Soldier Spy,7.1
Raiders of the Lost Ark,8.5
Close Encounters of the Third Kind,7.7
The Silence of the Lambs,8.6
Jackass 3D,7.1
The Conjuring,7.5
School of Rock,7.1
The Descendants,7.3
Holes,7.1
12 Years a Slave,8.1
Edward Scissorhands,7.9
Me Before You,7.6
The French Connection,7.8
Selma,7.5
Spotlight,8.1
Babel,7.5
Doubt,7.5
Team America: World Police,7.2
Milk,7.6
High Fidelity,7.6
The Bank Job,7.3
Eternal Sunshine of the Spotless Mind,8.3
Nerve,7.1
Psycho,8.5
Reign Over Me,7.5
Into the Wild,8.2
From Dusk Till Dawn,7.3
Kung Fu Hustle,7.8
The Kite Runner,7.6
21 Grams,7.7
Capitalism: A Love Story,7.4
Bullets Over Broadway,7.5
The Quiet American,7.1
Let Me In,7.2
Mrs Henderson Presents,7.1
Deconstructing Harry,7.4
Death at a Funeral,7.4
Everybody's Fine,7.2
Perception            ,7.5
Topsy-Turvy,7.4
Little Boy,7.4
A Scanner Darkly,7.1
Chasing Mavericks,7.2
"Synecdoche, New York",7.5
Princess Mononoke,8.4
The Proposition,7.4
Equilibrium,7.5
The Children of Huang Shi,7.1
The Doombolt Chase            ,7.2
Hands of Stone,7.2
The Painted Veil,7.5
The Baader Meinhof Complex,7.4
Dances with Wolves,8.0
Scream,7.2
The Shining,8.4
Back to the Future,8.5
The Devil's Double,7.1
Spirited Away,8.6
The Book Thief,7.6
Indignation,7.8
Adaptation.,7.7
Fear and Loathing in Las Vegas,7.7
Big,7.3
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3
Bad Santa,7.1
Predator,7.8
Amadeus,8.3
Gosford Park,7.3
The O.C.            ,7.5
Birdman or (The Unexpected Virtue of Ignorance),7.8
Blue Jasmine,7.3
United 93,7.6
Glory,7.9
Soul Surfer,7.1
Catch-22,7.2
Raging Bull,8.3
127 Hours,7.6
Life as a House,7.5
Steve Jobs,7.2
Blow Out,7.4
The Ice Storm,7.5
Being Julia,7.1
Ed Wood,7.9
Mongol: The Rise of Genghis Khan,7.3
RocknRolla,7.3
Hamlet,7.8
Mao's Last Dancer,7.4
The Railway Man,7.1
The White Ribbon,7.8
The Salton Sea,7.2
Metallica Through the Never,7.2
Carlos            ,7.7
Day of the Dead,7.2
Superbad,7.6
Hotel Rwanda,8.1
The Others,7.6
Aliens,8.4
My Fair Lady,7.9
Sideways,7.5
Halloween,7.9
Hero,7.9
"McFarland, USA",7.4
Pitch Perfect,7.2
A Simple Plan,7.5
Running Scared,7.4
The Illusionist,7.6
The Illusionist,7.6
Wall Street,7.4
Sense and Sensibility,7.7
Becoming Jane,7.1
House of Sand and Fog,7.6
Dead Poets Society,8.0
Dumb & Dumber,7.3
When Harry Met Sally...,7.6
The Verdict,7.8
The Artist,8.0
Moonrise Kingdom,7.8
Pan's Labyrinth,8.2
Hot Fuzz,7.9
Vicky Cristina Barcelona,7.2
White Oleander,7.2
Radio Days,7.6
Remember Me,7.2
Philadelphia,7.7
Highlander,7.2
Things We Lost in the Fire,7.2
Welcome to the Sticks,7.1
Enter the Void,7.3
Hachi: A Dog's Tale,8.1
Lilyhammer            ,8.1
Beverly Hills Cop,7.3
Home Alone,7.5
Tootsie,7.4
"Crouching Tiger, Hidden Dragon",7.9
American Beauty,8.4
The King's Speech,8.0
Scream: The TV Series            ,7.3
The Color Purple,7.8
The Imitation Game,8.1
Coal Miner's Daughter,7.5
Halloween,7.9
National Lampoon's Vacation,7.4
The Queen,7.3
Beetlejuice,7.5
Little Women,7.3
The Deer Hunter,8.2
Wag the Dog,7.1
What's Love Got to Do with It,7.2
End of Watch,7.7
The Theory of Everything,7.7
Lawrence of Arabia,8.4
Wild,7.1
The Princess Bride,8.1
The Great Debaters,7.6
Drive,7.8
Love & Basketball,7.2
Grosse Pointe Blank,7.4
Match Point,7.7
The Remains of the Day,7.9
Boogie Nights,7.9
The Place Beyond the Pines,7.3
The Hurt Locker,7.6
U2 3D,8.4
Brazil,8.0
The Dead Zone            ,7.5
The Big Lebowski,8.2
The Love Letter,7.4
In Bruges,8.0
Whatever Works,7.2
Three Burials,7.5
Kiss Kiss Bang Bang,7.6
Mulholland Drive,8.0
Never Let Me Go,7.2
The Company            ,7.9
Metropolis,8.3
District B13,7.2
The Return,8.0
Shinjuku Incident,7.1
Groundhog Day,8.1
Sarah's Key,7.5
Unforgiven,8.3
Manderlay,7.4
Slumdog Millionaire,8.0
Towering Inferno            ,9.5
Born on the Fourth of July,7.2
First Blood,7.7
The Spy Who Loved Me,7.1
Dangerous Liaisons,7.7
The Diving Bell and the Butterfly,8.0
Little Children,7.6
Amen.,7.3
Flipped,7.7
Brokeback Mountain,7.7
Far from Heaven,7.4
Dekalog            ,9.1
Quills,7.4
Seven Psychopaths,7.2
The Border            ,7.4
Downfall,8.3
The Sea Inside,8.1
"Good Morning, Vietnam",7.3
Black Swan,8.0
The Godfather: Part II,9.0
St. Vincent,7.3
10 Things I Hate About You,7.2
The Butterfly Effect,7.7
The Mist,7.2
Ex Machina,7.7
Being John Malkovich,7.8
Letters from Iwo Jima,7.9
Room,8.3
Del 1 - Män som hatar kvinnor            ,8.1
"Paris, je t'aime",7.3
The Widow of Saint-Pierre,7.3
Brothers,7.1
Find Me Guilty,7.1
The Perks of Being a Wallflower,8.0
Infamous,7.1
Quest for Fire,7.4
Antwone Fisher,7.3
True Romance,8.0
Glengarry Glen Ross,7.8
The Prisoner of Zenda,7.8
Lars and the Real Girl,7.4
The Boy in the Striped Pajamas,7.8
Dancer in the Dark,8.0
The Land Before Time,7.3
Tae Guk Gi: The Brotherhood of War,8.1
The Exorcist,8.0
Jaws,8.0
Ernest & Celestine,7.9
Star Trek II: The Wrath of Khan,7.7
WarGames,7.1
Witness,7.4
Jackie Brown,7.5
Chronicle,7.1
Patton,8.0
The Muppet Christmas Carol,7.7
Casino Royale,8.0
Frida,7.4
The Fault in Our Stars,7.8
Rounders,7.4
Spartacus: War of the Damned            ,8.6
Philomena,7.6
Nebraska,7.8
Das Boot,8.4
About Time,7.8
House of Flying Daggers,7.6
Two Lovers,7.1
Ravenous,7.1
The Great Beauty,7.7
The Dangerous Lives of Altar Boys,7.1
2046,7.5
Duma,7.3
Brother,7.2
Trade,7.5
Fateless,7.1
City of Life and Death,7.7
10 Days in a Madhouse,7.5
Snatch,8.3
Madadayo,7.5
Gremlins,7.2
Star Wars: Episode IV - A New Hope,8.7
Doctor Zhivago,8.0
Trash,7.2
The Fighter,7.9
Jackass Number Two,7.1
My Cousin Vinny,7.5
Major League,7.2
Phone Booth,7.1
A Walk to Remember,7.4
Dead Man Walking,7.6
The Secret Life of Bees,7.3
Brooklyn,7.5
Barry Lyndon,8.1
Frailty,7.3
Woman in Gold,7.3
Kinsey,7.1
Army of Darkness,7.6
What's Eating Gilbert Grape,7.8
The Visual Bible: The Gospel of John,7.7
Vera Drake,7.7
Inside Llewyn Davis,7.4
Poltergeist,7.4
2001: A Space Odyssey,8.3
E.T. the Extra-Terrestrial,7.9
Lovesick            ,7.9
La Famille Bélier,7.4
Good Will Hunting,8.3
Precious,7.3
The Longest Day,7.8
Oliver!,7.5
The Best Exotic Marigold Hotel,7.3
Snatch,8.3
Dogma,7.4
The Outsiders,7.2
Pete's Dragon,7.3
The Dead Zone,7.2
Rushmore,7.7
Tremors,7.1
The Long Riders,7.1
Mud,7.4
Love Jones,7.4
The Gift,7.1
Office Space,7.8
Dirty Pretty Things,7.4
Bones            ,7.9
American History X,8.6
The Red Violin,7.7
The Straight Story,8.0
Rescue Dawn,7.3
Danny Collins,7.1
The Limey,7.1
Crash,7.9
The House of Mirth,7.1
Peaceful Warrior,7.3
A Better Life,7.2
Nicholas Nickleby,7.2
Dekalog            ,9.1
Owning Mahowny,7.2
Shaolin Soccer,7.3
Imaginary Heroes,7.3
"The Good, the Bad, the Weird",7.3
Amour,7.9
"It's a Mad, Mad, Mad, Mad World",7.6
Volver,7.6
Richard III,7.5
Melancholia,7.1
Red Dog,7.5
Alien,8.5
The Texas Chain Saw Massacre,7.5
Fiddler on the Roof,8.0
Loose Cannons,7.3
Sicko,8.0
Harold & Kumar Go to White Castle,7.1
Trading Places,7.5
Henry V,7.7
The Savages,7.2
The Ultimate Gift,7.4
The Wailing,7.7
All or Nothing,7.6
Flame and Citron,7.3
Red Riding: In the Year of Our Lord 1974,7.1
Beneath Hill 60,7.1
Polisse,7.3
Star Wars: The Clone Wars            ,7.9
The Lost Boys,7.2
Crazy Heart,7.3
Election,7.3
The Namesake,7.6
Silmido,7.2
My Name Is Khan,8.0
Limbo,7.1
Namastey London,7.3
The Wind That Shakes the Barley,7.5
The Karate Kid,7.2
Quo Vadis,7.2
Pulp Fiction,8.9
The Muppet Movie,7.7
Nightcrawler,7.9
The Sound of Music,8.0
Little Miss Sunshine,7.9
Stand by Me,8.1
28 Days Later...,7.6
Escape from Alcatraz,7.6
50/50,7.7
Kicks,7.8
Much Ado About Nothing,7.4
The Player            ,7.1
Akeelah and the Bee,7.5
American Psycho,7.6
Enough Said,7.1
Easy A,7.1
Howards End,7.5
Preacher            ,8.3
Anomalisa,7.3
Another Year,7.3
8 Women,7.1
It's Kind of a Funny Story,7.2
Made in Dagenham,7.2
The Secret of Kells,7.7
Begin Again,7.4
Restless,7.2
Wuthering Heights            ,7.7
Akira,8.1
The Rocket: The Legend of Rocket Richard,7.7
Mr. Church,8.0
Driving Miss Daisy,7.4
Far from Men,7.3
Thank You for Smoking,7.6
An Education,7.3
Narc,7.2
Crash,7.9
Persepolis,8.0
The Wave,7.6
Harry Brown,7.2
Juno,7.5
The Godfather,9.2
500 Days of Summer,7.7
The Piano,7.6
"Definitely, Maybe",7.2
The Great Gatsby,7.3
"Good Night, and Good Luck.",7.5
Capote,7.4
Desperado,7.2
Fargo            ,9.0
The Descent,7.2
Michael Jordan to the Max,7.5
Buffy the Vampire Slayer            ,8.2
Dope,7.3
Skyfall,7.8
Get Low,7.1
A Single Man,7.6
The Last Temptation of Christ,7.6
Rabbit-Proof Fence,7.5
Nikita            ,7.7
Dark Angel            ,7.4
Veer-Zaara,7.9
We Need to Talk About Kevin,7.5
Mother and Child,7.2
Hesher,7.1
The Boondock Saints,7.9
Pale Rider,7.3
Stargate: The Ark of Truth,7.4
Dazed and Confused,7.7
Two Lovers and a Bear,7.2
Aimee & Jaguar,7.3
Incendies,8.2
Elite Squad,8.1
Boyz n the Hood,7.8
The Four Seasons,7.2
Dressed to Kill,7.1
Go,7.3
The Andromeda Strain,7.2
Nowhere in Africa,7.7
Shame,7.3
Layer Cake,7.4
Aberdeen,7.3
The Messenger,7.2
Control,7.7
The Terminator,8.1
Good Bye Lenin!,7.7
The Damned United,7.6
The Return of the Living Dead,7.3
Gomorrah            ,8.7
Mallrats,7.2
Grease,7.2
Platoon,8.1
Fahrenheit 9/11,7.5
Butch Cassidy and the Sundance Kid,8.1
Mary Poppins,7.8
Ordinary People,7.8
West Side Story,7.6
Caddyshack,7.4
The Usual Suspects,8.6
The Wrestler,7.9
Best in Show,7.5
Escape from New York,7.2
A Mighty Wind,7.3
War & Peace            ,8.2
The Last King of Scotland,7.7
The Words,7.1
City Island,7.4
The Guard,7.3
The Virgin Suicides,7.2
Veronica Mars            ,8.4
Hedwig and the Angry Inch,7.8
Shattered Glass,7.2
The Wild Bunch,8.0
Julia,7.4
Lake of Fire,8.3
11:14,7.2
A Shine of Rainbows,7.2
Emma            ,8.2
Videodrome,7.3
L'auberge espagnole,7.3
Winter in Wartime,7.1
The Train,7.9
The Protector,7.1
The Inbetweeners            ,8.4
The Sting,8.3
Chariots of Fire,7.2
Shine,7.7
High Plains Drifter,7.6
Ghost World,7.4
Iris,7.1
The Chorus,7.9
Do the Right Thing,7.9
Le Havre,7.2
Irreversible,7.4
Rang De Basanti,8.4
A Room for Romeo Brass,7.7
Headhunters,7.6
Saint Ralph,7.6
Somewhere in Time,7.3
10 Cloverfield Lane,7.3
The Gift,7.1
Instructions Not Included,7.6
The Return of the Pink Panther,7.1
Monster,7.3
"20,000 Leagues Under the Sea",7.2
The Elephant Man,8.2
Dallas Buyers Club,8.0
Memento,8.5
Clerks II,7.4
Billy Elliot,7.7
The Way Way Back,7.4
The Man from Snowy River,7.3
The Apostle,7.2
Race,7.1
Eve's Bayou,7.3
Still Alice,7.5
Y Tu Mamá También,7.7
Shaun of the Dead,8.0
Lone Star,7.6
Diner,7.2
The Barbarian Invasions,7.7
Once Upon a Time in the West,8.6
Moon,7.9
The Sweet Hereafter,7.7
Of Gods and Men,7.2
Heavenly Creatures,7.4
The Machinist,7.7
Green Room,7.1
Bottle Rocket,7.1
"Gandhi, My Father",7.4
Standard Operating Procedure,7.5
Out of the Blue,7.2
Tucker and Dale vs Evil,7.6
"Lovely, Still",7.3
